Question ID,Question Text,Truth Query,LLM Query,Generation Time (s),Truth Exec Time (s),LLM Exec Time (s),String Match,Execution Score,Error_Message
1,what is the biggest city in arizona,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arizona"" ) AND CITYalias0.STATE_NAME = ""arizona"" ;",SELECT city_name FROM city WHERE population = (SELECT MAX(population) FROM city WHERE state_name = 'arizona') AND state_name = 'arizona',0.475,0.003,0.0001,0,1,
2,which rivers run through the state with the largest city in the us,SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE IN ( SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ) ;,SELECT river_name FROM river WHERE traverse = (SELECT state_name FROM city WHERE population = (SELECT MAX(population) FROM city) AND country_name = 'usa'),0.327,0.0007,0.0001,0,1,
3,how big is texas,"SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ;",SELECT area FROM state WHERE state_name = 'texas',0.453,0.0001,0.0,0,1,
4,how many people live in washington,"SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""washington"" ;",SELECT population FROM state WHERE state_name = 'washington',0.403,0.0002,0.0,0,1,
5,what state has the smallest population,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MIN( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ;,SELECT state_name FROM state WHERE population = (SELECT MIN(population) FROM state),0.356,0.0002,0.0001,0,1,
6,give me the cities in virginia,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME = ""virginia"" ;",SELECT city_name FROM city WHERE state_name = 'virginia',0.552,0.0003,0.0001,0,1,
7,what is the area of the state with the capital albany,"SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.CAPITAL = ""albany"" ;",SELECT area FROM state WHERE capital = 'albany',0.453,0.0002,0.0,0,1,
8,give me the lakes in california,"SELECT LAKEalias0.LAKE_NAME FROM LAKE AS LAKEalias0 WHERE LAKEalias0.STATE_NAME = ""california"" ;",SELECT lake_name FROM lake WHERE state_name = 'california',0.292,0.0002,0.0,0,1,
9,name the major lakes in michigan,"SELECT LAKEalias0.LAKE_NAME FROM LAKE AS LAKEalias0 WHERE LAKEalias0.AREA > 750 AND LAKEalias0.STATE_NAME = ""california"" ;",SELECT lake_name FROM lake WHERE area > 750 AND state_name = 'michigan',0.472,0.0004,0.0001,0,0,Data Mismatch
10,what are the states,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 ;,SELECT state_name FROM state,0.28,0.002,0.0002,0,1,
11,which states do colorado river flow through,"SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",SELECT traverse FROM river WHERE river_name = 'colorado',0.275,0.0004,0.0001,0,1,
12,what state has the largest population,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MAX( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ;,SELECT state_name FROM state WHERE population = (SELECT MAX(population) FROM state),0.266,0.0003,0.0001,0,1,
13,what is the lowest elevation in pennsylvania,"SELECT HIGHLOWalias0.LOWEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""pennsylvania"" ;",SELECT lowest_elevation FROM highlow WHERE state_name = 'pennsylvania',0.51,0.0005,0.0001,0,1,
14,what is the highest point in each state whose lowest point is sea level,"SELECT HIGHLOWalias0.HIGHEST_POINT , HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.LOWEST_ELEVATION = 0 ;",SELECT highest_point FROM highlow WHERE lowest_elevation = 0,0.52,0.0003,0.0002,0,0,Data Mismatch
15,what is the length of the longest river in the usa,SELECT DISTINCT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,SELECT length FROM river WHERE country_name = 'usa' AND length = (SELECT MAX(length) FROM river WHERE country_name = 'usa'),0.316,0.0004,0.0002,0,1,
16,what is the longest river flowing through new york,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""new york"" ) AND RIVERalias0.TRAVERSE = ""new york"" ;",SELECT river_name FROM river WHERE traverse = 'new york' AND length = (SELECT MAX(length) FROM river WHERE traverse = 'new york'),0.845,0.0004,0.0001,0,1,
17,how many rivers are in new york,"SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE = ""new york"" ;",SELECT COUNT(river_name) FROM river WHERE traverse = 'new york',1.458,0.0006,0.0002,0,1,
18,what states neighbor maine,"SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""maine"" ;",SELECT border FROM border_info WHERE state_name = 'maine',3.361,0.0006,0.0001,0,1,
19,name all the rivers in colorado,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE = ""texas"" ;",SELECT river_name FROM river WHERE traverse = 'colorado',4.568,0.0004,0.0001,0,0,Data Mismatch
