Question ID,Question Text,Truth Query,LLM Query,Generation Time (s),Truth Exec Time (s),LLM Exec Time (s),String Match,Execution Score,Error_Message
1,what is the biggest city in arizona,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arizona"" ) AND CITYalias0.STATE_NAME = ""arizona"" ;",select city_name from city where state_name = 'arizona' order by population desc limit 1,0.309,0.0027,0.0005,0,1,
2,which rivers run through the state with the largest city in the us,SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE IN ( SELECT CITYalias0.STATE_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 ) ) ;,select r.river_name from river r join city c on r.country_name = c.country_name where c.city_name = 'new york' and c.population = (select max(population) from city),0.369,0.0005,0.0008,0,0,Data Mismatch
3,how big is texas,"SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""texas"" ;","select area, population from state where state_name = 'texas'",0.21,0.0001,0.0,0,0,Data Mismatch
4,how many people live in washington,"SELECT STATEalias0.POPULATION FROM STATE AS STATEalias0 WHERE STATEalias0.STATE_NAME = ""washington"" ;",select population from state where state_name = 'washington',0.147,0.0001,0.0,0,1,
5,what state has the smallest population,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MIN( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ;,select state_name from state order by population asc limit 1,0.161,0.0001,0.0009,0,1,
6,give me the cities in virginia,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.STATE_NAME = ""virginia"" ;",select city_name from city where state_name = 'virginia',0.147,0.0001,0.0,0,1,
7,what is the area of the state with the capital albany,"SELECT STATEalias0.AREA FROM STATE AS STATEalias0 WHERE STATEalias0.CAPITAL = ""albany"" ;",select area from state where capital = 'albany',0.142,0.0001,0.0,0,1,
8,give me the lakes in california,"SELECT LAKEalias0.LAKE_NAME FROM LAKE AS LAKEalias0 WHERE LAKEalias0.STATE_NAME = ""california"" ;",select lake_name from lake where state_name = 'california',0.156,0.0001,0.0,0,1,
9,name the major lakes in michigan,"SELECT LAKEalias0.LAKE_NAME FROM LAKE AS LAKEalias0 WHERE LAKEalias0.AREA > 750 AND LAKEalias0.STATE_NAME = ""california"" ;",select lake_name from lake where state_name = 'michigan' and area > 1000,0.19,0.0001,0.0,0,0,Data Mismatch
10,what are the states,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 ;,select state_name from state,0.376,0.0003,0.0001,0,1,
11,which states do colorado river flow through,"SELECT RIVERalias0.TRAVERSE FROM RIVER AS RIVERalias0 WHERE RIVERalias0.RIVER_NAME = ""colorado"" ;",select traverse from river where river_name = 'colorado',0.152,0.0001,0.0,0,1,
12,what state has the largest population,SELECT STATEalias0.STATE_NAME FROM STATE AS STATEalias0 WHERE STATEalias0.POPULATION = ( SELECT MAX( STATEalias1.POPULATION ) FROM STATE AS STATEalias1 ) ;,select state_name from state order by population desc limit 1,0.167,0.0001,0.0,0,1,
13,what is the lowest elevation in pennsylvania,"SELECT HIGHLOWalias0.LOWEST_ELEVATION FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.STATE_NAME = ""pennsylvania"" ;",select lowest_elevation from highlow where state_name = 'pennsylvania',0.17,0.0001,0.0,0,1,
14,what is the highest point in each state whose lowest point is sea level,"SELECT HIGHLOWalias0.HIGHEST_POINT , HIGHLOWalias0.STATE_NAME FROM HIGHLOW AS HIGHLOWalias0 WHERE HIGHLOWalias0.LOWEST_ELEVATION = 0 ;","select t1.state_name, t1.highest_point 
from highlow t1 
where t1.lowest_elevation = 'sea level'",0.375,0.0002,0.0001,0,0,Data Mismatch
15,what is the length of the longest river in the usa,SELECT DISTINCT RIVERalias0.LENGTH FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 ) ;,select max(length) from river where country_name = 'usa',0.209,0.0003,0.0001,0,1,
16,what is the longest river flowing through new york,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.LENGTH = ( SELECT MAX( RIVERalias1.LENGTH ) FROM RIVER AS RIVERalias1 WHERE RIVERalias1.TRAVERSE = ""new york"" ) AND RIVERalias0.TRAVERSE = ""new york"" ;",select river_name from river where length = (select max(length) from river where traverse = 'new york') and traverse = 'new york',0.194,0.0002,0.0001,0,1,
17,how many rivers are in new york,"SELECT COUNT( RIVERalias0.RIVER_NAME ) FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE = ""new york"" ;",select count(river_name) from river where traverse like '%new york%',0.212,0.0006,0.0001,0,1,
18,what states neighbor maine,"SELECT BORDER_INFOalias0.BORDER FROM BORDER_INFO AS BORDER_INFOalias0 WHERE BORDER_INFOalias0.STATE_NAME = ""maine"" ;",select border from border_info where state_name = 'maine',0.172,0.0004,0.0001,0,1,
19,name all the rivers in colorado,"SELECT RIVERalias0.RIVER_NAME FROM RIVER AS RIVERalias0 WHERE RIVERalias0.TRAVERSE = ""texas"" ;",select river_name from river where traverse = 'colorado',0.156,0.0001,0.0,0,0,Data Mismatch
